ID, Source RA (Degrees), Source Dec (Degrees), Source Type, Source MSA Disp (meters), Source MSA Spat (meters), Aperture PA (Degrees), Fiducial RA (Degrees), Fiducial Dec (Degrees), V2 (arcsec), V3 (arcsec), Quadrant, Column (Disp), Row (Spat), Offset (x), Offset (y), NRS1 Min Wave, NRS1 Max Wave, NRS2 Min Wave, NRS2 Max Wave,config,group,name,final_weight,pre_footprint_weight,base_weight,type_override_weight,type_rule,downgraded,z_guess,footprint_ok,local_mean,stamp_bounds,ra_deg,dec_deg,ra_hms,dec_dms,shape,pointsym,color,text,comments_x,attrs_raw,order_in_file,SED_ID,stellar_mass,SFR,RA,DEC,X,Y,NAME,FIELD,Rs,GmRs,UmG,Udet,zlya,zabs,zneb,type,comments_y,FULL_ID,NBmag,NBcol,Comments,z_best
1,237.96474,19.18521,Primary,0.01046,-0.028762,258.0058,237.98804433,19.182285,408.3247,-502.5954,3,57,65,0.355,0.435,-1.0,2.60499263,2.76904488,-2.0,c1e1n1,Primary,MD10,150,150,150,,,0,2.8491,True,,,237.96474,19.18521,15:51:51.538,+19:11:06.756,circle,,darkgreen,MD10,2.8491 QSO,color=darkgreen  width=2 text={MD10} comment={2.8491 QSO},3,Q1549-MD10,8872631300.0,140.0,237.96474,19.18521,854.7755,865.6938,MD10,Q1549,23.04,0.23,1.35,yes,2.853,-2.0,2.8513,QSO,also GNB2267; on QSO-W kcwi cube; zneb from [OIII] 4363 in mosfire H band spectrum,Q1549-MD10,,,,2.8513
2,237.97402,19.18614,Primary,0.009198,-0.016742,258.0058,237.98804433,19.182285,389.906,-476.7562,3,45,124,0.307,0.488,-1.0,2.5867312,2.75096893,-2.0,c1e1n1,Primary,MD17,150,150,150,,,0,2.845,True,,,237.97402,19.18614,15:51:53.765,+19:11:10.104,circle,,darkgreen,MD17,2.845 QSO,color=darkgreen  width=2 text={MD17} comment={2.845 QSO},4,Q1549-MD17,49605636000.0,24.0,237.97402,19.18614,870.1806,1015.141,MD17,Q1549,23.75,0.24,1.36,yes,2.848,2.843,-1.0,QSO,"on kcwi QSO-E kcwi cube;also NB2079; nz; m3,m6; abs near em z; v. close to sightline",Q1549-MD17,,,,2.843
3,237.96366,19.18492,Primary,0.010357,-0.030209,258.0058,237.98804433,19.182285,411.0382,-505.2811,3,56,58,0.374,0.328,-1.0,2.60041857,2.76444745,-2.0,c1e1n1,Primary,M15,150,150,150,,,0,2.8411,True,,,237.96366,19.18492,15:51:51.278,+19:11:05.712,circle,,darkgreen,M15,2.8411 AGN,color=darkgreen  width=2 text={M15} comment={2.8411 AGN},5,Q1549-M15,73242624000.0,36.0,237.96366,19.18492,849.8962,848.2932,M15,Q1549,24.52,0.91,2.06,no,2.845,-2.0,-1.0,AGN,"aka NB1614 on mask N1; appears to have broad CIV, see M15.br.fits in spec dir; GNB2254",Q1549-M15,,,,2.845
4,237.992,19.2072778,Primary,0.0335,0.012373,258.0058,237.98804433,19.182285,293.5863,-460.9044,4,276,26,0.752,0.72,-1.0,-2.0,-2.0,-2.0,c1e1n1,Primary,GNB4950b,50,50,150,50.0,^GNB,0,2.8516,True,,,237.992,19.2072778,15:51:58.080,+19:12:26.200,circle,,green,GNB4950b,"2.85162 QSO, LAB46","color=green width=2 text={GNB4950b} comment={2.85162 QSO, LAB46}",6,,,,,,,,,,,,,,,,,,,,,,,
31,237.95704,19.18278,Primary,0.009228,-0.039159,258.0058,237.98804433,19.182285,428.8071,-521.1032,3,45,14,0.64,0.356,-1.0,2.55849648,2.72237062,-2.0,c1e1n1,Primary,C12,150,150,150,,,0,2.8372,True,,,237.95567,19.16459,15:51:49.361,+19:09:52.524,circle,,blue,C12,2.8372,color=blue  width=2 text={C12} comment={2.8372},32,Q1549-C12,4456803800.0,5.0,237.95567,19.16459,504.9708,718.7534,C12,Q1549,25.19,0.5,2.16,no,-2.0,2.8352,-1.0,GAL,nz; m3; possible addl z=2.158,Q1549-C12,,,,2.8352
39,237.96546,19.17103,Primary,-0.009224,-0.031875,258.0058,237.98804433,19.182285,451.5886,-475.3829,1,320,50,0.248,0.187,-1.0,2.08450007,2.24850154,-2.0,c1e1n1,Primary,D11,150,150,150,,,0,2.839,True,,,237.95735,19.15082,15:51:49.764,+19:09:02.952,circle,,blue,D11,2.839,color=blue  width=2 text={D11} comment={2.839},40,Q1549-D11,7176792600.0,22.0,237.95735,19.15082,271.0401,745.1971,D11,Q1549,23.75,0.32,1.83,yes,-2.0,2.837,-1.0,GAL,nz; m4,Q1549-D11,,,,2.837
53,238.0141667,19.1670278,Primary,-0.028439,0.029303,258.0058,237.98804433,19.182285,382.7473,-324.0453,2,138,109,0.307,0.841,-1.0,-1.0,1.79951465,-2.0,c1e1n1,Primary,LAB43,150,150,150,,,0,,True,,,237.9490125,19.1965417,15:51:47.763,+19:11:47.550,point,box,#00DD00,LAB43,,point=box 18 color=#00DD00 width=2 text={LAB43},54,,,,,,,,,,,,,,,,,,,,,,,
56,238.0091292,19.1801022,Primary,-0.008893,0.02654,258.0058,237.98804433,19.182285,350.1733,-362.099,2,324,96,0.493,0.291,-1.0,2.15209866,2.31682301,-2.0,c1e1n1,Primary,SMGL2019-9,150,150,150,,,0,2.85,True,,,237.9499583,19.194175,15:51:47.990,+19:11:39.030,point,circle,yellow,SMGL2019-9,2.85  L2019-9;SC2025/5.8sig,point=circle 16 color=yellow width=2 text={SMGL2019-9} comment={2.85  L2019-9;SC2025/5.8sig},57,,,,,,,,,,,,,,,,,,,,,,,
106,237.97025,19.1947028,Primary,0.022024,-0.019058,258.0058,237.98804433,19.182285,369.3526,-503.0671,3,167,113,0.479,0.126,-1.0,2.9206965,3.08490205,-2.0,c1e1n1,Primary,GNB2512,25,50,150,50.0,^GNB,1,2.8387,False,,,237.96975,19.1941417,15:51:52.740,+19:11:38.910,circle,,green,GNB2512,2.8387,color=green width=2 text={GNB2512} comment={2.8387},107,Q1549-GNB2512,164848930.0,3.0,237.9697465,19.194164,1006.63,946.68,GNB2512,Q1549,,,,,2.8387,-1.0,,,,Q1549-GNB2512,23.2,2.3,GNB2512 23.2005 2.3028 2.8387 ; mult. apertures; NB1824 23.5079 1.9212 nb1929 22.9853 2.0751,2.8387
111,237.9711667,19.1950222,Primary,0.022215,-0.017802,258.0058,237.98804433,19.182285,366.8197,-500.9173,3,169,119,0.301,0.293,-1.0,2.92777538,3.09199882,-2.0,c1e1n1,Primary,GNB2659,25,50,150,50.0,^GNB,1,2.8391,False,,,237.97025,19.1947028,15:51:52.860,+19:11:40.930,circle,,green,GNB2659,2.8391,color=green width=2 text={GNB2659} comment={2.8391},112,Q1549-GNB2659,2341880600.0,1.0,237.9702536,19.1947272,1016.18,954.87,GNB2659,Q1549,,,,,2.8391,-1.0,,,,Q1549-GNB2659,24.0,75.26,GNB2659 24.0016 75.263 2.8391 ; [ap2]; NB1899 24.3234 1.5158 nb2019 23.7609 1.7124 2.8391,2.8391
117,238.0089583,19.1761472,Primary,-0.014331,0.025178,258.0058,237.98804433,19.182285,362.8595,-355.6069,2,272,89,0.699,0.592,-1.0,2.00572944,2.17044187,-2.0,c1e1n1,Primary,GNB2786,25,50,150,50.0,^GNB,1,2.8561,False,,,237.97275,19.1955028,15:51:53.460,+19:11:43.810,circle,,green,GNB2786,2.8561,color=green width=2 text={GNB2786} comment={2.8561},118,Q1549-GNB2786,816340740.0,1.0,237.9727489,19.1955302,1029.71,995.08,GNB2786,Q1549,,,,,2.8561,-1.0,,,,Q1549-GNB2786,24.64,1.41,GNB2786 24.6444 1.4058 2.8561 ; double lya ; NB2031 25.0030 1.1357 nb2143 24.6006,2.8561
127,238.020625,19.1647889,Primary,-0.03337,0.037041,258.0058,237.98804433,19.182285,378.9717,-300.9567,2,91,147,0.314,0.859,-1.0,-1.0,-1.0,-2.0,c1e1n1,Primary,GNB3262,50,50,150,50.0,^GNB,0,2.8065,True,,,238.0314583,19.1801333,15:52:07.550,+19:10:48.480,circle,,green,GNB3262,2.80646,color=green width=2 text={GNB3262} comment={2.80646},128,,,,,,,,,,,,,,,,,,,,,,,
139,238.011,19.2113694,Primary,0.034017,0.03811,258.0058,237.98804433,19.182285,249.0114,-411.8863,4,281,153,0.626,0.198,-1.0,-2.0,-2.0,-2.0,c1e1n1,Primary,GNB4116,25,50,150,50.0,^GNB,1,2.8281,False,,,238.0133333,19.1525083,15:52:03.200,+19:09:09.030,circle,,green,GNB4116,2.8281,color=green width=2 text={GNB4116} comment={2.8281},140,,,,,,,,,,,,,,,,,,,,,,,
171,237.98125,19.1629667,Primary,-0.024734,-0.014123,258.0058,237.98804433,19.182285,450.4918,-414.3512,1,172,137,0.443,0.368,-1.0,-1.0,1.85876417,-2.0,c1e1n1,Primary,GNB5435,25,50,150,50.0,^GNB,1,2.8242,False,,,237.9858333,19.1481917,15:51:56.600,+19:08:53.490,circle,,green,GNB5435,2.82423,color=green width=2 text={GNB5435} comment={2.82423},172,Q1549-GNB5435,577084060000.0,289.0,237.985777,19.1481929,225.24,1202.86,GNB5435,Q1549,,,,,-1.0,-1.0,,,,Q1549-GNB5435,26.7,0.76,,
215,237.97176,19.15904,Filler,-0.027447,-0.027263,258.0058,237.98804433,19.182285,478.6617,-435.5149,1,146,72,0.648,0.803,-1.0,-1.0,1.77298474,-2.0,c1e1n1,Primary,DRG31,100,100,150,100.0,^DRG,0,,True,,,237.970688,19.154043,15:51:52.965,+19:09:14.555,circle,,magenta,DRG31 FSzP628,,color=magenta width=2 text={DRG31 FSzP628},215,,,,,,,,,,,,,,,,,,,,,,,
233,238.01131,19.16113,Filler,-0.035788,0.023924,258.0058,237.98804433,19.182285,406.014,-322.0694,2,68,83,0.317,0.399,-1.0,-1.0,-1.0,-2.0,c1e1n1,Primary,DRG78,100,100,150,100.0,^DRG,0,,True,,,238.034851,19.137964,15:52:08.364,+19:08:16.670,circle,,magenta,DRG78 FSzP47,,color=magenta width=2 text={DRG78 FSzP47},233,,,,,,,,,,,,,,,,,,,,,,,
286,237.99104,19.20554,Filler,0.031355,0.010629,258.0058,237.98804433,19.182285,300.6392,-460.6726,4,256,18,0.329,0.149,-1.0,-2.0,-2.0,-2.0,c1e1n1,Filler,BX26,5,5,5,,,0,2.4305,True,,,237.92681,19.18587,15:51:42.434,+19:11:09.132,circle,,darkgreen,BX26,2.4305,color=darkgreen  width=2 text={BX26} comment={2.4305},55,Q1549-BX26,892491520.0,11.0,237.92681,19.18587,867.6579,255.0523,BX26,Q1549,24.93,0.28,0.85,yes,2.434,-2.0,-1.0,AGN,has NV em?,Q1549-BX26,,,,2.434
291,237.99568,19.21032,Filler,0.036715,0.018001,258.0058,237.98804433,19.182285,277.899,-455.3901,4,307,54,0.368,0.383,-1.0,-2.0,-2.0,-2.0,c1e1n1,Filler,BX40,1,1,1,,,0,1.8715,True,,,237.9437,19.16866,15:51:46.488,+19:10:07.176,circle,,blue,BX40,1.8715,color=blue  width=2 text={BX40} comment={1.8715},60,Q1549-BX40,4190948400.0,13.0,237.9437,19.16866,574.6161,526.1975,BX40,Q1549,24.49,0.2,0.6,yes,-2.0,1.87,-1.0,GAL,nz; z from N2,Q1549-BX40,,,,1.87
295,238.00512,19.17761,Filler,-0.011226,0.020639,258.0058,237.98804433,19.182285,364.6878,-369.5621,2,302,67,0.289,0.29,-1.0,2.0855031,2.25017643,-2.0,c1e1n1,Filler,BX51,5,5,5,,,0,2.2895,True,,,237.9539,19.18669,15:51:48.936,+19:11:12.084,circle,,red,BX51,2.2895,color=red  width=2 text={BX51} comment={2.2895},64,Q1549-BX51,2442674700.0,19.0,237.9539,19.18669,880.3754,691.2357,BX51,Q1549,24.56,0.25,0.91,yes,2.294,2.288,2.2895,GAL,zneb mosfire; nz; m2,Q1549-BX51,,,,2.2895
297,238.00669,19.16437,Filler,-0.029998,0.018877,258.0058,237.98804433,19.182285,403.5772,-341.4854,2,123,58,0.483,0.607,-1.0,-1.0,1.74929476,-2.0,c1e1n1,Filler,BX54,5,5,5,,,0,2.321,True,,,237.95734,19.18577,15:51:49.762,+19:11:08.772,circle,,red,BX54,2.321,color=red  width=2 text={BX54} comment={2.321},66,Q1549-BX54,775888190.0,12.0,237.95734,19.18577,864.6022,746.5786,BX54,Q1549,25.09,0.11,0.49,yes,2.326,2.3185,2.321,GAL,"nz; m4; xtra abs, poss. strong CII* em",Q1549-BX54,,,,2.321
304,238.01486,19.16727,Filler,-0.028299,0.030271,258.0058,237.98804433,19.182285,380.829,-322.4206,2,139,114,0.63,0.597,-1.0,-1.0,1.80310059,-2.0,c1e1n1,Filler,BX70,1,1,1,,,0,1.7739,True,,,237.96674,19.15783,15:51:52.018,+19:09:28.188,circle,,blue,BX70,1.7739,color=blue  width=2 text={BX70} comment={1.7739},73,Q1549-BX70,5424364000.0,17.0,237.96674,19.15783,389.6918,896.7105,BX70,Q1549,23.48,0.16,0.52,yes,1.7779,1.7725,-1.0,GAL,nz; m6,Q1549-BX70,,,,1.7725
307,238.01765,19.16101,Filler,-0.037756,0.0321,258.0058,237.98804433,19.182285,395.7927,-303.0801,2,49,123,0.547,0.572,-1.0,-1.0,-1.0,-2.0,c1e1n1,Filler,BX84,5,5,5,,,0,2.825,True,,,237.97374,19.20684,15:51:53.698,+19:12:24.624,circle,,blue,BX84,2.825,color=blue  width=2 text={BX84} comment={2.825},76,Q1549-BX84,3667145700.0,11.0,237.97374,19.20684,1221.7438,1011.514,BX84,Q1549,24.47,0.5,1.07,yes,-2.0,2.823,-1.0,GAL,nz; m3; v strong Lya and ism abs,Q1549-BX84,,,,2.823
365,238.003403,19.162231,Filler,-0.032021,0.014033,258.0058,237.98804433,19.182285,415.7777,-347.4358,2,104,34,0.229,0.798,-1.0,-1.0,-1.0,-2.0,c1e1n1,Filler,MD6,5,5,5,,,0,2.7349,True,,,237.94157,19.20823,15:51:45.977,+19:12:29.628,circle,,blue,MD6,2.7349,color=blue  width=2 text={MD6} comment={2.7349},134,Q1549-MD6,2275053800.0,28.0,237.94157,19.20823,1246.7345,493.7085,MD6,Q1549,24.03,0.44,1.49,yes,2.7417,2.733,-1.0,GAL,nz; m6; em poss @2.414 also,Q1549-MD6,,,,2.733
480,237.9715833,19.1683389,Filler,-0.014629,-0.024888,258.0058,237.98804433,19.182285,449.7974,-452.4862,1,268,84,0.731,0.5,-1.0,1.94881988,2.11293435,-2.0,c1e1n1,Filler,GNB269,5,10,1,10.0,^GNB,1,,False,,,237.9176667,19.1914833,15:51:40.240,+19:11:29.340,circle,,red,GNB269,,color=red width=2 text={GNB269},249,,,,,,,,,,,,,,,,,,,,,,,
545,238.0190833,19.1595333,Filler,-0.040206,0.033539,258.0058,237.98804433,19.182285,398.0268,-296.222,2,26,130,0.209,0.64,-1.0,-1.0,-1.0,-2.0,c1e1n1,Filler,GNB3866,5,10,1,10.0,^GNB,1,,False,,,238.01775,19.1462222,15:52:04.260,+19:08:46.400,circle,,red,GNB3866,,color=red width=2 text={GNB3866},314,,,,,,,,,,,,,,,,,,,,,,,
561,238.0084167,19.1699583,Filler,-0.022754,0.022701,258.0058,237.98804433,19.182285,383.1696,-346.2598,2,192,77,0.469,0.408,-1.0,1.78036785,1.94505954,-2.0,c1e1n1,Filler,GNB4216,5,10,1,10.0,^GNB,1,,False,,,238.0124583,19.1395222,15:52:02.990,+19:08:22.280,circle,,red,GNB4216,,color=red width=2 text={GNB4216},330,,,,,,,,,,,,,,,,,,,,,,,
596,237.992,19.2072778,Contaminant,0.0335,0.012373,258.0058,237.98804433,19.182285,293.5863,-460.9044,4,276,26,0.752,0.72,-1.0,-2.0,-2.0,-2.0,c1e1n1,Filler,GNB4859,10,10,1,10.0,^GNB,0,,True,,,237.9969583,19.1839889,15:51:59.270,+19:11:02.360,circle,,red,GNB4859,,color=red width=2 text={GNB4859},365,,,,,,,,,,,,,,,,,,,,,,,
605,237.9915,19.2000972,Filler,0.023699,0.009624,258.0058,237.98804433,19.182285,316.9371,-449.6813,4,183,13,0.399,0.2,-1.0,2.99937105,-2.0,-2.0,c1e1n1,Filler,GNB4984,10,10,1,10.0,^GNB,0,,True,,,237.9911667,19.1871361,15:51:57.880,+19:11:13.690,circle,,red,GNB4984,,color=red width=2 text={GNB4984},373,,,,,,,,,,,,,,,,,,,,,,,
624,237.9832917,19.1646778,Filler,-0.022955,-0.011043,258.0058,237.98804433,19.182285,441.7147,-411.3307,1,189,152,0.373,0.507,-1.0,1.74468958,1.90900791,-2.0,c1e1n1,Filler,GNB5368,10,10,1,10.0,^GNB,0,,True,,,237.9859167,19.2121694,15:51:56.620,+19:12:43.810,circle,,red,GNB5368,,color=red width=2 text={GNB5368},392,,,,,,,,,,,,,,,,,,,,,,,
955,238.0091292,19.1801022,Contaminant,-0.008893,0.02654,258.0058,237.98804433,19.182285,350.1733,-362.099,2,324,96,0.493,0.291,-1.0,2.15209866,2.31682301,-2.0,c1e1n1,Filler,LAE1635,1,1,1,,,0,,True,,,237.7795542,19.1782853,15:51:07.093,+19:10:41.827,point,cross,cyan,'LAE1635',,point=cross 14 color=cyan width=2 text={'LAE1635'},723,,,,,,,,,,,,,,,,,,,,,,,
8,237.9749167,19.1782889,Primary,-0.030226,0.022653,257.9945,237.95343363,19.19578389,397.5396,-333.8342,2,121,77,0.304,0.159,-1.0,-1.0,1.74686825,-2.0,c2e1n1,Primary,GNB2920,50,50,150,50.0,^GNB,0,2.8687,True,,,237.9749167,19.1782889,15:51:53.980,+19:10:41.840,circle,,green,GNB2920,2.86873 CO detection,color=green width=2 text={GNB2920} comment={2.86873 CO detection},10,,,,,,,,,,,,,,,,,,,,,,,
12,237.971375,19.1762222,Primary,-0.032077,0.017493,257.9945,237.95343363,19.19578389,409.9373,-340.6682,2,103,51,0.684,0.801,-1.0,-1.0,-1.0,-2.0,c2e1n1,Primary,GNB2753,50,50,150,50.0,^GNB,0,2.852,True,,,237.971375,19.1762222,15:51:53.130,+19:10:34.400,circle,,green,GNB2753,2.85203 in HS1549 tail also LAE 1617,color=green width=2 text={GNB2753} comment={2.85203 in HS1549 tail also LAE 1617},14,,,,,,,,,,,,,,,,,,,,,,,
13,237.9713333,19.1825028,Primary,-0.023381,0.019229,257.9945,237.95343363,19.19578389,390.3123,-351.9008,2,186,60,0.513,0.343,-1.0,1.76072502,1.92538583,-2.0,c2e1n1,Primary,NB1931,50,50,150,50.0,^NB,0,2.8524,True,,,237.9713333,19.1825028,15:51:53.120,+19:10:57.010,circle,,green,NB1931,2.8524 inside QSO nebula,color=green width=2 text={NB1931} comment={2.8524 inside QSO nebula },15,Q1549-NB1931,209934960.0,4.0,237.97142,19.18245,807.71,970.68,NB1931,Q1549,26.08,0.33,1.79,no,2.8527,-2.0,-1.0,GAL,strong lya - catalog z is off,Q1549-NB1931,,,,2.8527
19,237.94803,19.17042,Primary,-0.033436,-0.014049,257.9945,237.95343363,19.19578389,467.13,-399.5536,1,89,137,0.556,0.713,-1.0,-1.0,-1.0,-2.0,c2e1n1,Primary,MD34,150,150,150,,,0,2.851,True,,,238.02637,19.21347,15:52:06.329,+19:12:48.492,circle,,blue,MD34,2.851,color=blue  width=2 text={MD34} comment={2.851},20,Q1549-MD34,19224895000.0,24.0,238.02637,19.21347,1332.2836,1858.993,MD34,Q1549,24.08,0.67,1.96,yes,-2.0,2.849,-1.0,GAL,,Q1549-MD34,,,,2.849
29,237.93853,19.20366,Primary,0.014984,-0.016697,257.9945,237.95343363,19.19578389,378.752,-486.4694,3,100,124,0.414,0.714,-1.0,2.7386539,2.90289187,-2.0,c2e1n1,Primary,C6,150,150,150,,,0,2.83,True,,,237.9365,19.1758,15:51:44.760,+19:10:32.880,circle,,blue,C6,2.83,color=blue  width=2 text={C6} comment={2.83},30,Q1549-C6,15682951000.0,12.0,237.9365,19.1758,696.1973,410.5956,C6,Q1549,24.32,0.68,2.62,no,-2.0,2.828,-1.0,GAL,"nz;v. weak em; mult masks (m3,m5,m7)",Q1549-C6,,,,2.828
61,237.9353333,19.1965417,Primary,0.006056,-0.022796,257.9945,237.95343363,19.19578389,406.414,-483.3506,3,15,94,0.391,0.742,-1.0,2.49649334,2.66063929,-2.0,c2e1n1,Primary,NB3147,50,50,150,50.0,^NB,0,2.829,True,,,238.0091292,19.1801022,15:52:02.191,+19:10:48.368,point,cross,cyan,'NB3147',2.8290 LyC leaker lae7832 in Mostardi+13,point=cross 14 color=cyan width=2 text={'NB3147'} comment={2.8290 LyC leaker lae7832 in Mostardi+13},62,Q1549-NB3147,964461890.0,19.0,238.0091605,19.1801533,767.1,1580.67,NB3147,Q1549,,,,,2.829,-1.0,,,,Q1549-NB3147,24.51,0.44,nb3249 24.1787 0.5628 2.8290,2.829
